id,manufacturer,model_group,model_name,subsidy_national_10k_won,subsidy_local_10k_won,subsidy_total_10k_won,sale_price
207,폭스바겐그룹코리아,폭스바겐 ID.4,(단종)폭스바겐 2024 ID.4 Pro,422,218,640,0
208,폭스바겐그룹코리아,폭스바겐 ID.5,(단종)폭스바겐 ID.5 Pro,215,111,326,0
209,폭스바겐그룹코리아,폭스바겐 ID.4,폭스바겐 ID.4 Pro,422,218,640,0
212,폭스바겐그룹코리아,아우디 Q6,아우디 Q6 e-tron performance,220,113,333,0
148,현대자동차,아이오닉6,더 뉴 아이오닉6 awd 롱레인지 18인치,580,300,880,5940
149,현대자동차,아이오닉6,더 뉴 아이오닉6 awd 롱레인지 20인치,563,291,854,6178
150,현대자동차,아이오닉6,더 뉴 아이오닉6 2wd 스탠다드 18인치,570,294,864,4945
152,기아,EV9,EV9 롱레인지 2WD 19인치,275,142,417,6412
153,기아,EV9,EV9 롱레인지 2WD 20인치,273,141,414,6459
164,기아,EV6,더뉴EV6 GT,232,120,352,3995
110,현대자동차,GV60,GV60 스탠다드 2WD 19인치,287,148,435,6836
111,현대자동차,GV60,GV60 스탠다드 AWD 19인치,261,135,396,7216
112,현대자동차,GV60,GV60 스탠다드 AWD 20인치,251,129,380,7446
113,현대자동차,GV60,GV60 퍼포먼스 AWD 21인치,236,122,358,7676
114,현대자동차,GV70,Electrified GV70 AWD 20인치,244,126,370,8011
115,현대자동차,GV70,Electrified GV70 AWD 19인치,260,134,394,7931
116,현대자동차,아이오닉6,아이오닉6 스탠다드 2WD 18인치,635,272,907,4945
117,현대자동차,아이오닉6,아이오닉6 롱레인지 2WD 18인치,686,297,983,5330
118,현대자동차,아이오닉6,아이오닉6 롱레인지 2WD 20인치,680,294,974,5931
119,현대자동차,아이오닉6,아이오닉6 롱레인지 AWD 18인치,686,297,983,5940
120,현대자동차,아이오닉6,아이오닉6 롱레인지 AWD 20인치,647,277,924,6178
121,현대자동차,코나 EV,코나 일렉트릭 2WD 스탠다드 17인치,573,231,804,4307
122,현대자동차,코나 EV,코나 일렉트릭 2WD 롱레인지 17인치,623,271,894,4831
123,현대자동차,코나 EV,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,242,810,4905
124,현대자동차,아이오닉5,아이오닉5 N,232,120,352,7880
125,현대자동차,아이오닉5,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,298,957,5655
126,현대자동차,아이오닉5,더뉴아이오닉5 2WD 롱레인지 19인치,656,296,952,5863
127,현대자동차,아이오닉5,더뉴아이오닉5 2WD 롱레인지 20인치,651,294,945,5951
128,현대자동차,아이오닉5,더뉴아이오닉5 AWD 롱레인지 20인치,624,280,904,6381
