id,model_name,sale_price
148,더 뉴 아이오닉6 awd 롱레인지 18인치,59400000
149,더 뉴 아이오닉6 awd 롱레인지 20인치,61780000
150,더 뉴 아이오닉6 2wd 스탠다드 18인치,49450000
152,EV9 롱레인지 2WD 19인치,64120000
153,EV9 롱레인지 2WD 20인치,64590000
164,더뉴EV6 GT,39950000
110,GV60 스탠다드 2WD 19인치,68360000
111,GV60 스탠다드 AWD 19인치,72160000
112,GV60 스탠다드 AWD 20인치,74460000
113,GV60 퍼포먼스 AWD 21인치,76760000
114,Electrified GV70 AWD 20인치,80110000
115,Electrified GV70 AWD 19인치,79310000
116,아이오닉6 스탠다드 2WD 18인치,49450000
117,아이오닉6 롱레인지 2WD 18인치,53300000
118,아이오닉6 롱레인지 2WD 20인치,59310000
119,아이오닉6 롱레인지 AWD 18인치,59400000
120,아이오닉6 롱레인지 AWD 20인치,61780000
121,코나 일렉트릭 2WD 스탠다드 17인치,43070000
122,코나 일렉트릭 2WD 롱레인지 17인치,48310000
123,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),49050000
124,아이오닉5 N,78800000
125,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,56550000
126,더뉴아이오닉5 2WD 롱레인지 19인치,58630000
127,더뉴아이오닉5 2WD 롱레인지 20인치,59510000
128,더뉴아이오닉5 AWD 롱레인지 20인치,63810000
129,더뉴아이오닉5 AWD 롱레인지 19인치,62520000
130,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,62520000
131,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,64950000
132,Electrified G80 AWD 19인치(2025),84680000
133,더뉴아이오닉5 2WD 스탠다드 19인치,52980000
151,The all-new Kia Niro EV,32060000
154,EV9 롱레인지 4WD 19인치,68570000
155,EV9 롱레인지 4WD 21인치,69040000
156,EV9 롱레인지 GTL 4WD 21인치,73360000
157,더뉴EV6 롱레인지 4WD 20인치,49080000
158,더뉴EV6 롱레인지 2WD 20인치,46600000
159,더뉴EV6 롱레인지 4WD 19인치,46600000
160,더뉴EV6 롱레인지 2WD 19인치,46600000
161,EV3 롱레인지 2WD 17인치,39950000
162,EV3 롱레인지 2WD 19인치,39950000
165,더뉴EV6 스탠다드,39950000
166,EV9 스탠다드,64120000
167,EV4 롱레인지 GTL 2WD 19인치,40420000
168,EV4 스탠다드 2WD 19인치,40420000
169,EV4 롱레인지 2WD 17인치,40420000
170,EV4 롱레인지 2WD 19인치,40420000
171,EV4 스탠다드 2WD 17인치,40420000
172,PV5 패신저 5인승 롱레인지,45400000
173,EV5 롱레인지 2WD,48550000
174,scenic,46780000
175,MINI Cooper SE,52500000
176,i4 eDrive40,78300000
177,i4 M50,84900000
178,iX1 xDrive30,67900000
179,i4 eDrive40 LCI,78300000
134,Electrified GV70 AWD 20인치(2025),80110000
135,Electrified GV70 AWD 19인치(2025),79310000
136,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),50860000
137,아이오닉9 성능형 AWD,72550000
138,아이오닉9 항속형 AWD,71690000
139,아이오닉9 항속형 2WD,69030000
140,GV60 퍼포먼스 AWD 21인치(2025),76760000
141,GV60 스탠다드 AWD 20인치(2025),74460000
142,GV60 스탠다드 AWD 19인치(2025),72160000
143,GV60 스탠다드 2WD 19인치(2025),68360000
144,더 뉴 아이오닉6 2wd 롱레인지 n라인 20인치,58720000
145,더 뉴 아이오닉6 awd 롱레인지 n라인 20인치,61780000
146,더 뉴 아이오닉6 2wd 롱레인지 18인치,53300000
147,더 뉴 아이오닉6 2wd 롱레인지 20인치,59310000
163,EV3 스탠다드 2WD,39950000
180,iX2 eDrive20,65700000
182,MINI Countryman E,56700000
183,MINI Aceman SE,58000000
184,i4 M50 LCI,84900000
187,MINI Aceman E,49700000
188,ix1 edrive20,65700000
189,i5 edrive 40,84900000
190,(단종)Model 3 RWD(2024),51990000
191,(단종)Model Y RWD,52990000
192,Model 3 Long Range,59990000
193,(단종)Model Y Long Range,63140000
195,Model 3 Performance,69390000
196,(단종)Model Y Long Range 19인치,63140000
197,Model 3 RWD,51990000
198,New Model Y Long Range,63140000
199,New Model Y RWD,52990000
200,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),78100000
201,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),78100000
202,EQA250(Facelift),70000000
203,EQB300 4MATIC(Facelift)(5인승),78100000
204,EQB300 4MATIC(Facelift)(7인승),78100000
206,(단종)아우디 Q4 Sportback 40 e-tron,72700000
215,코란도 EV 2WD,31500000
213,토레스 EVX 2WD 18인치,48470000
214,토레스 EVX 2WD 20인치,50680000
216,토레스 EVX 18인치,44380000
217,토레스 EVX 20인치,46290000
221,볼보 EX30 Single Motor ER,47520000
224,볼보 EX 30cc Twin,51790000
222,BYD ATTO 3,31500000
218,Polestar 4 Long Range Single Motor 20인치,66900000
219,Polestar 4 Long Range Dual Motor 22인치 performance,83900000
220,Polestar 4 Long Range Dual Motor 20인치,71900000
223,BYD SEAL Dynamic awd,46900000
